Traces_Median_Delta_From_Traces_Elapsed_Time_null,UNIT_CATEGORY,RemainingTime,Traces_Mean_Delta_From_Traces_Elapsed_Time_null,NumExecution_Current_Activity,Count_Concurrent_Instances,CONTAINER_TYPE,UNIT_FREIGHT_KIND,Median_Elapsed_Time_Concurrent_Instances,LINE_OPERATOR,Mean_Elapsed_Time_Concurrent_Instances,UNIT_GKEY,Trace_Start_Time,CLASS
-4965000,EXPRT,?,-72744222,?,624,20RG,MTY,57517000,1365373081,36121187,2672720146,?,'[1.058038E9,1.522382E9['
-16537000,EXPRT,?,-73695243,?,624,20RG,MTY,12176000,4103,33390382,2672790186,?,'[6.24443E8,1.058038E9['
-15313000,EXPRT,?,-71488262,?,624,40HC,FCL,56860000,4185,34725246,2672748347,?,'[7.8491E7,2.13063E8['
0,EXPRT,?,-20411112,?,3767,20RG,MTY,170562000,4047,129961389,2672782238,?,'[6.24443E8,1.058038E9['
-15898000,EXPRT,?,-74624569,?,624,20RG,MTY,57901000,4103,36490812,2672663849,?,'[6.24443E8,1.058038E9['
6953000,EXPRT,?,-3554801,?,3612,20RG,MTY,167235000,4103,181281692,2672857944,?,'[5.20066E8,6.24443E8['
-15684000,EXPRT,?,-75217421,?,624,20RG,MTY,57922000,4076,36519202,2672691911,?,'[2.17554E8,2.24119E8['
-15116000,EXPRT,?,-71715030,?,624,20RG,MTY,10609000,4185,32615335,2672727698,?,'[3.11746E8,3.649E8['
-16127000,EXPRT,?,-73981223,?,624,20RG,MTY,10490500,4185,32824049,2672741021,?,'[3.11746E8,3.649E8['
-16498000,EXPRT,?,-73609774,?,625,20RG,MTY,13082000,4185,34196737,2672702347,?,'[4.6604E8,5.20066E8['
-16578500,EXPRT,?,-73874607,?,624,40HC,FCL,12024000,4076,33552729,2672778781,?,'[2.13063E8,2.17554E8['
-16537000,EXPRT,?,-73171994,?,626,40HC,MTY,13812000,4173,34713386,2672857172,?,'[3.649E8,4.6604E8['
-16444000,EXPRT,?,-73781985,?,624,20RG,MTY,11201000,4076,32969920,2672797466,?,'[2.13063E8,2.17554E8['
