UNIT_GKEY,UNIT_FREIGHT_KIND,CONTAINER_TYPE,LINE_OPERATOR,Count_Concurrent_Instances,Traces_Median_Delta_From_Traces_Elapsed_Time_null,Traces_Mean_Delta_From_Traces_Elapsed_Time_null,Median_Elapsed_Time_Concurrent_Instances,Mean_Elapsed_Time_Concurrent_Instances,CLASS,
2672865643,MTY,40RG,4103,3670,63109000,24276073,172485000,166188754,'[7.8491E7,2.13063E8['
2672868430,MTY,40HC,4037,3619,94241000,30793404,170352000,187672614,'[3.649E8,4.6604E8['
2672869993,FCL,40HC,4185,3736,0,16506753,173379000,154354126,'[7.8491E7,2.13063E8['
2672870077,FCL,40HC,4185,3676,59631500,23009553,172722000,165506732,'[7.8491E7,2.13063E8['
2672873262,MTY,20RG,4103,3659,73655500,34115447,172498000,172602480,'[5.20066E8,6.24443E8['
2672873308,MTY,40RG,4173,626,-14069000,-62217281,63431500,41691972,'[3.649E8,4.6604E8['
2672874236,MTY,40HC,4173,626,-14069000,-62165508,63560500,41821376,'[3.649E8,4.6604E8['
2672881788,FCL,40HC,4281,3613,60606000,11682546,169908000,188576479,'[3.649E8,4.6604E8['
2672886652,FCL,40HC,4060,3610,-566500,-14972953,169179000,188712122,'[3.649E8,4.6604E8['
2672886697,FCL,40HC,4060,3677,63051000,23338094,172842000,165458887,'[3.11746E8,3.649E8['
2672886742,FCL,40HC,4060,3619,110200000,31919988,170566000,186565481,'[3.649E8,4.6604E8['
2672886996,MTY,20RG,4103,3632,94244000,41653205,171864000,176937615,'[5.20066E8,6.24443E8['
2672889406,MTY,20RG,4103,3628,94241000,41272627,171800000,177404461,'[1.058038E9,1.522382E9['
2672890780,MTY,20RG,4103,3632,94360000,42346112,171940000,177014336,'[5.20066E8,6.24443E8['
2672893798,MTY,40HC,4047,4898,0,-5972310,5999000,63625746,'[2.24119E8,3.11746E8['
2672896697,MTY,40RG,4103,3619,94360000,28295598,170506000,187288991,'[7.8491E7,2.13063E8['
2672896701,FCL,40HC,4185,6394,-20215000,-57241131,48483000,73672250,'[2.24119E8,3.11746E8['
2672901037,FCL,20RG,4185,10756,-528000,-51643198,101613000,90437105,'[7.8491E7,2.13063E8['
2672902625,MTY,40HC,4173,3615,94185000,29786641,170290000,188165503,'[2.24119E8,3.11746E8['
2672903082,FCL,40HC,4185,6499,-20216000,-56525567,40208500,68804967,'[2.24119E8,3.11746E8['
2672903127,FCL,40HC,4185,6499,-20274500,-56691603,38107500,66703968,'[2.24119E8,3.11746E8['
2672903172,FCL,40HC,4185,6499,-20253000,-56636766,38429500,67025969,'[2.24119E8,3.11746E8['
2672903247,FCL,40HC,4185,6393,-20188000,-56836009,50776000,75903275,'[2.24119E8,3.11746E8['
2672903812,FCL,40HC,4103,6499,-20252000,-56617418,38567500,67164066,'[2.24119E8,3.11746E8['
2672903857,FCL,40HC,4103,6394,-20252000,-57437986,44545000,69734630,'[2.24119E8,3.11746E8['
2672905081,FCL,40HC,4103,6499,-20216000,-56515911,40330500,68927100,'[2.24119E8,3.11746E8['
2672951132,MTY,20RG,4185,3680,57375500,22376352,172799000,164018266,'[7.8491E7,2.13063E8['
